sampleid,perwt,ftotinc,incwage,inctot,sex,age,educ,eduyears,degfield,hoursworked,raceethnicity,married,nchild,nchlt5,famsize,occtype,indtype,inschool,movedlastyear,hadchildlastyear,marriedlastyear,divorcedlastyear,disability,head,spouse,ownershp,homeowner,healthins,nocoverage,commutingtime,foreignborn,citizenship,region,statefip,metrohomeplace,metropop,metroba18pc
2325,71,23000,21000,21000,male,31,grade 12,12,n/a,40,nhwhite,0,1,1,4,transportation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,no coverage,1,10,0,1,east north central div,indiana,0,,
2332,253,72300,52000,52000,female,49,grade 12,12,n/a,40,nhwhite,0,1,0,2,legal,professional,0,0,0,0,0,0,1,0,rented,0,public/employer,0,40,0,1,middle atlantic division,new york,1,20320876,37.242645
2333,133,50000,50000,50000,male,30,grade 12,12,n/a,50,nhwhite,0,0,0,1,construction,construction,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,east south central div,kentucky,0,,
2336,55,231000,150000,150000,male,58,4 years of college,16,engineering,55,nhwhite,1,0,0,2,businessfinance,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,1,1,east north central div,illinois,1,9533895,35.037014
2337,65,227000,100000,100000,female,32,4 years of college,16,social sciences,60,nhwhite,1,0,0,2,businessfinance,professional,0,0,0,0,0,0,1,0,rented,0,public/employer,0,0,0,1,pacific division,california,1,13353907,31.398245
2339,113,570000,235000,235000,female,45,5+ years of college,18,"english language, literature, and composition",45,nhwhite,1,1,0,3,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,90,0,1,middle atlantic division,new jersey,1,20320876,37.242645
2342,176,175000,107000,107000,female,52,5+ years of college,18,architecture,50,nhwhite,1,0,0,2,csmathengineering,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,pacific division,oregon,1,2451560,37.184464
2346,64,135000,120000,120000,male,56,grade 12,12,n/a,50,nhwhite,1,0,0,2,salesandservicesandfood,construction,0,0,0,1,1,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,pacific division,california,1,13353907,31.398245
2348,240,45500,41200,41200,female,53,1 year of college,13,n/a,60,nhblack,0,1,0,2,health,health,0,0,0,0,0,0,1,0,rented,0,no coverage,1,60,0,1,west north central div,missouri,1,2807216,32.106228
2349,86,182000,70000,70000,female,61,grade 12,12,n/a,40,nhwhite,1,0,0,2,ruralextraction,ruralextraction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,0,0,1,east north central div,ohio,0,,
2350,223,120000,75000,75000,female,56,grade 12,12,n/a,40,nhnative,1,0,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,30,0,1,south atlantic division,north carolina,0,,
2352,31,107000,47000,47000,female,31,5+ years of college,18,education administration and teaching,40,nhwhite,1,2,2,4,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,east north central div,illinois,1,241000,34.152119
2354,151,95700,34000,34000,female,53,4 years of college,16,education administration and teaching,40,hispanic,0,2,0,6,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,rented,0,no coverage,1,45,1,1,pacific division,california,1,13353907,31.398245
2355,95,27500,26000,26000,female,56,1 year of college,13,n/a,40,nhnative,0,0,0,2,educationlibrary,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,10,0,1,west south central div,oklahoma,0,,
2356,52,26000,10000,10000,male,32,4 years of college,16,engineering,40,nhwhite,1,2,2,4,csmathengineering,manufacture,0,1,0,0,0,0,1,0,rented,0,public/employer,0,15,1,0,south atlantic division,georgia,1,5882450,34.712471
2358,58,17900,6000,6300,male,34,2 years of college,14,n/a,40,nhblack,0,0,0,2,manufandinstallation,manufacture,0,0,0,0,0,1,1,0,rented,0,public/employer,0,10,0,1,east south central div,mississippi,0,,
2362,31,22000,31900,31900,male,33,grade 11,11,n/a,50,hispanic,0,3,0,5,ruralextraction,ruralextraction,0,0,0,0,0,0,0,0,owned or being bought (loan),1,no coverage,1,15,0,1,east north central div,michigan,0,,
2363,214,119000,114000,114000,male,44,4 years of college,16,communications,48,nhwhite,1,1,0,3,businessfinance,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west south central div,texas,1,7400479,31.686863
2364,53,84000,32000,32000,female,38,4 years of college,16,education administration and teaching,40,nhwhite,1,2,0,4,salesandservicesandfood,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,5,0,1,west north central div,nebraska,0,,
2368,45,86980,45000,45000,male,53,1 year of college,13,n/a,40,nhblack,1,0,0,2,health,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,12,0,1,east north central div,ohio,1,703505,29.38101
2369,152,136200,135000,136200,female,38,4 years of college,16,medical and health sciences and services,41,nhwhite,0,0,0,1,health,retailtrade,1,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,south atlantic division,florida,1,1504980,28.28821
2372,333,30000,30000,30000,male,34,"grade 5, 6, 7, or 8",7.5,n/a,40,hispanic,0,2,1,4,manufandinstallation,manufacture,0,1,0,0,0,0,1,0,rented,0,public/employer,0,45,1,0,pacific division,california,1,547899,16.064825
2374,106,133000,107000,107000,male,42,grade 12,12,n/a,46,nhwhite,1,2,0,4,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,illinois,1,9533895,35.037014
2385,110,105000,35000,35000,female,61,5+ years of college,18,education administration and teaching,60,nhwhite,1,0,0,2,educationlibrary,education,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,east south central div,tennessee,0,,
2388,76,113000,35000,35000,female,60,grade 12,12,n/a,50,hispanic,1,0,0,2,businessfinance,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,0,0,1,pacific division,california,1,4580670,19.302816
2389,66,639000,75000,75000,female,61,4 years of college,16,business,40,nhwhite,1,0,0,2,businessfinance,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,south atlantic division,virginia,0,,
2390,52,44400,120000,120000,male,56,4 years of college,16,architecture,45,nhwhite,0,0,0,2,businessfinance,hospitality,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,mountain division,arizona,1,4737270,28.396246
2391,168,31000,31000,31000,male,25,4 years of college,16,social sciences,40,nhwhite,0,0,0,1,businessfinance,education,0,0,0,0,0,0,0,0,rented,0,public/employer,0,30,0,1,west north central div,minnesota,1,3600618,38.914993
2394,96,45000,23000,23000,female,63,2 years of college,14,n/a,40,nhwhite,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,4,0,1,west north central div,missouri,1,2126945,34.216198
2395,70,83900,72000,72000,male,60,grade 12,12,n/a,48,nhwhite,0,0,0,2,office,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,east north central div,ohio,1,2058844,28.843008
2396,109,175000,110000,110000,male,39,4 years of college,16,social sciences,40,hispanic,1,0,0,2,protection,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,13353907,31.398245
2398,90,255000,150000,200000,male,46,4 years of college,16,education administration and teaching,80,nhwhite,1,2,1,4,health,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,13353907,31.398245
2399,129,70400,35800,35800,male,19,grade 12,12,n/a,64,nhasian,0,0,0,8,salesandservicesandfood,hospitality,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,30,1,0,middle atlantic division,pennsylvania,1,6096120,35.061737
2401,81,166000,48000,48000,male,44,"grade 5, 6, 7, or 8",5.5,n/a,50,hispanic,1,0,0,2,transportation,wholesaletrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,75,1,1,pacific division,california,1,13353907,31.398245
2403,16,21000,21000,21000,female,48,grade 12,12,n/a,40,nhnative,0,1,0,4,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,5,0,1,mountain division,montana,0,,
2405,179,255000,85000,85000,female,42,5+ years of college,18,business,52,nhwhite,1,2,0,4,businessfinance,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,40,0,1,west north central div,nebraska,1,934184,33.472443
2406,114,105500,65000,65500,female,44,4 years of college,16,medical and health sciences and services,48,nhwhite,1,1,0,3,health,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,west north central div,kansas,0,,
2411,82,156000,55000,79000,male,57,grade 12,12,n/a,40,nhwhite,1,1,0,3,manufandinstallation,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,east north central div,michigan,1,4313002,28.965315
2413,139,32000,15000,15000,female,19,grade 12,12,n/a,36,nhwhite,0,0,0,3,salesandservicesandfood,hospitality,1,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,12,0,1,middle atlantic division,new jersey,1,6096120,35.061737
2415,99,122700,120000,122700,male,35,4 years of college,16,computer and information sciences,40,nhasian,0,0,0,1,csmathengineering,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,7,1,1,pacific division,california,1,1998463,47.724354
2417,18,158500,66000,68500,female,45,5+ years of college,18,education administration and teaching,60,nhother,1,1,0,3,educationlibrary,education,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,hawaii,1,988650,31.697355
2418,17,54000,24000,24000,female,25,1 year of college,13,n/a,40,nhwhite,1,0,0,2,health,health,0,1,0,1,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,east north central div,michigan,1,4313002,28.965315
2420,106,30000,30000,30000,male,52,grade 12,12,n/a,40,nhwhite,0,0,0,1,manufandinstallation,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,50,0,1,east north central div,illinois,1,2807216,32.106228
2421,377,118000,25000,25000,female,30,grade 12,12,n/a,45,hispanic,0,2,0,6,office,manufacture,0,0,0,0,1,0,0,0,owned or being bought (loan),1,public/employer,0,5,1,1,west north central div,kansas,1,646542,28.538767
2422,71,133000,54000,54000,female,48,5+ years of college,18,education administration and teaching,50,hispanic,1,1,0,3,educationlibrary,education,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,8,1,1,south atlantic division,florida,1,3091399,28.138767
2423,131,58000,50000,50000,male,38,4 years of college,16,business,40,hispanic,1,2,0,4,businessfinance,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,45,1,0,west south central div,texas,1,2115827,40.612038
2424,446,185000,75000,75000,female,43,4 years of college,16,communications,40,hispanic,0,0,0,3,artsrecreationmedia,information,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,20,1,1,south atlantic division,virginia,1,6216710,47.067619
2425,66,67000,52000,52000,male,28,1 year of college,13,n/a,40,nhwhite,1,0,0,2,construction,construction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,ohio,1,2058844,28.843008
2426,58,35000,35000,35000,male,53,5+ years of college,18,cosmetology services and culinary arts,40,nhblack,0,0,0,1,social,construction,0,0,0,0,0,0,1,0,rented,0,public/employer,0,30,0,1,south atlantic division,virginia,0,,
2430,138,16000,16000,16000,female,26,2 years of college,14,n/a,40,nhwhite,0,0,0,1,educationlibrary,education,0,0,0,0,0,0,0,0,rented,0,public/employer,0,5,0,1,west south central div,arkansas,0,,
2431,116,65000,30000,30000,female,25,4 years of college,16,biology and life sciences,40,hispanic,1,0,0,2,educationlibrary,education,1,1,0,1,0,1,1,0,rented,0,public/employer,0,60,0,1,south atlantic division,georgia,1,5882450,34.712471
2434,65,80000,40000,40000,male,29,n/a or no schooling,0,n/a,50,hispanic,1,2,1,4,transportation,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,60,1,0,mountain division,colorado,1,2888227,40.913242
2435,175,60000,60000,60000,male,60,grade 12,12,n/a,60,nhasian,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,1,rented,0,public/employer,0,25,0,1,pacific division,hawaii,0,,
2436,114,34000,31200,31200,male,33,grade 9,9,n/a,40,nhwhite,1,2,0,4,construction,construction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,indiana,0,,
2437,138,217000,46000,46000,female,45,4 years of college,16,business,40,nhblack,1,0,0,2,social,public,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,south atlantic division,maryland,1,2808175,36.65374
2439,208,42000,42000,42000,female,31,4 years of college,16,business,40,nhwhite,0,0,0,1,businessfinance,education,1,0,0,0,0,0,1,0,rented,0,public/employer,0,30,0,1,west south central div,louisiana,1,834159,24.797241
2440,53,22100,20000,22100,female,63,grade 12,12,n/a,50,nhwhite,0,0,0,1,protection,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,east south central div,alabama,0,,
2447,66,280100,57000,57000,male,24,4 years of college,16,engineering,48,nhwhite,0,0,0,4,csmathengineering,public,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,60,0,1,middle atlantic division,pennsylvania,1,6096120,35.061737
2452,98,26200,8000,8000,female,25,1 year of college,13,n/a,40,nhother,0,0,0,2,transportation,retailtrade,0,1,0,0,0,0,0,0,rented,0,no coverage,1,30,0,1,south atlantic division,georgia,1,5882450,34.712471
2459,55,293000,150000,167000,male,46,4 years of college,16,communication technologies,50,nhwhite,1,2,0,4,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,80,0,1,middle atlantic division,new jersey,1,20320876,37.242645
2463,117,50000,45000,45000,male,30,grade 12,12,n/a,40,nhwhite,1,1,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,east south central div,mississippi,1,578794,28.138968
2465,54,47000,40000,40000,male,57,grade 11,11,n/a,40,hispanic,1,0,0,2,salesandservicesandfood,finance,0,0,0,0,0,0,0,1,rented,0,public/employer,0,2,0,1,west south central div,texas,1,7400479,31.686863
2466,212,106000,86000,106000,male,38,grade 12,12,n/a,40,nhwhite,1,4,0,6,manufandinstallation,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,indiana,0,,
2467,29,81000,31000,31000,female,53,1 year of college,13,n/a,40,nhwhite,1,0,0,2,office,otherservices,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,0,0,1,pacific division,california,1,2324884,29.756802
2468,55,119000,40000,40000,male,37,grade 12,12,n/a,40,nhwhite,1,2,0,4,salesandservicesandfood,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,east north central div,illinois,0,,
2469,116,89000,60000,60000,male,36,1 year of college,13,n/a,50,hispanic,1,2,0,5,transportation,retailtrade,1,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,13353907,31.398245
2471,29,30020,70000,70000,female,25,5+ years of college,18,psychology,45,hispanic,0,0,0,2,office,education,0,0,0,0,0,0,0,0,rented,0,public/employer,0,10,1,1,south atlantic division,maryland,1,6216710,47.067619
2472,168,180200,40000,50000,male,46,4 years of college,16,computer and information sciences,40,nhwhite,0,0,0,2,csmathengineering,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,south atlantic division,virginia,1,181986,25.885456
2473,36,63200,24000,24000,female,50,grade 12,12,n/a,40,nhblack,0,0,0,4,salesandservicesandfood,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,30,0,1,south atlantic division,north carolina,0,,
2474,65,151300,55000,55000,female,32,grade 12,12,n/a,40,nhwhite,1,1,0,5,businessfinance,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east south central div,tennessee,1,1904226,33.303417
2480,150,82000,34000,34000,female,31,2 years of college,14,n/a,40,nhwhite,1,0,0,2,office,health,0,0,0,0,0,0,0,1,rented,0,public/employer,0,30,0,1,new england division,massachusetts,1,213444,42.593754
2483,32,153280,55000,55000,male,59,grade 12,12,n/a,42,nhwhite,1,0,0,2,manufandinstallation,wholesaletrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,individual only,0,29,0,1,west north central div,iowa,0,,
2487,64,60000,35000,35000,female,36,grade 12,12,n/a,40,nhwhite,1,2,0,4,office,retailtrade,0,0,0,0,0,1,0,1,rented,0,public/employer,0,40,0,1,east south central div,tennessee,1,554876,25.148182
2489,65,105000,35000,35000,female,38,grade 12,12,n/a,40,nhwhite,1,0,0,2,office,professional,0,1,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,florida,0,,
2490,62,223520,133000,133000,male,54,5+ years of college,18,physical sciences,50,nhwhite,1,1,0,3,businessfinance,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,146,0,1,new england division,massachusetts,1,4836531,44.245804
2493,236,180000,90000,90000,female,32,5+ years of college,18,medical and health sciences and services,36,nhblack,1,2,0,4,health,health,0,0,0,0,0,0,0,1,rented,0,public/employer,0,5,1,1,west south central div,texas,1,6892427,29.590622
2496,62,471600,75000,301000,male,55,4 years of college,16,business,45,nhwhite,1,1,0,3,businessfinance,hospitality,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,1,0,south atlantic division,maryland,1,6216710,47.067619
2498,73,86000,86000,86000,female,37,5+ years of college,18,business,40,nhblack,0,0,0,1,businessfinance,finance,0,0,0,0,0,0,1,0,rented,0,public/employer,0,15,0,1,pacific division,california,1,4580670,19.302816
2502,16,195300,175000,173300,male,54,1 year of college,13,n/a,60,nhwhite,1,0,0,2,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,0,0,1,south atlantic division,virginia,0,,
2504,134,76300,42000,42000,female,47,grade 12,12,n/a,40,nhwhite,1,1,0,3,office,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,middle atlantic division,new york,1,1136856,30.23403
2505,127,154200,55000,55000,male,47,grade 12,12,n/a,40,nhwhite,1,2,0,6,construction,construction,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,east south central div,kentucky,0,,
2506,83,246000,82000,82000,male,46,1 year of college,13,n/a,45,hispanic,1,3,0,5,businessfinance,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,70,1,1,pacific division,california,1,4727357,46.360546
2507,316,72000,72000,72000,male,30,grade 12,12,n/a,40,nhwhite,0,0,0,2,manufandinstallation,utilities,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,middle atlantic division,new jersey,1,840550,26.740967
2509,135,32200,28800,28800,male,34,1 year of college,13,n/a,40,nhblack,1,4,1,7,manufandinstallation,manufacture,0,1,0,0,0,0,0,1,rented,0,public/employer,0,30,0,1,east south central div,tennessee,1,554876,25.148182
2511,71,123000,60000,60000,female,56,2 years of college,14,n/a,50,nhwhite,0,1,0,4,office,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,20,0,1,pacific division,washington,1,3867046,39.11578
2512,233,104000,26000,26000,male,22,grade 12,12,n/a,40,nhwhite,0,0,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,40,0,1,west south central div,texas,1,7400479,31.686863
2514,43,72400,25900,25900,female,60,1 year of college,13,n/a,40,nhwhite,1,0,0,2,office,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,east north central div,wisconsin,0,,
2515,221,150000,30000,30000,female,48,grade 12,12,n/a,40,nhwhite,1,1,0,3,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,12,0,1,middle atlantic division,new jersey,1,6096120,35.061737
2516,103,45000,45000,45000,male,21,grade 12,12,n/a,55,nhwhite,0,1,1,3,salesandservicesandfood,retailtrade,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west north central div,missouri,1,2807216,32.106228
2519,101,70000,70000,70000,male,43,2 years of college,14,n/a,42,nhwhite,1,3,0,5,protection,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,3,0,1,east north central div,illinois,1,2807216,32.106228
2520,110,363000,250000,250000,male,36,5+ years of college,18,biology and life sciences,45,nhwhite,1,1,1,3,health,health,0,1,0,0,0,0,0,1,owned or being bought (loan),1,individual only,0,15,0,1,pacific division,washington,1,3867046,39.11578
2521,104,50000,20000,20000,female,28,4 years of college,16,social sciences,40,nhwhite,1,0,0,2,businessfinance,retailtrade,0,0,0,1,0,0,1,0,rented,0,public/employer,0,20,0,1,west north central div,iowa,1,645911,34.513252
2523,52,35300,24000,24000,male,49,1 year of college,13,n/a,45,nhwhite,0,1,0,3,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,rented,0,public/employer,0,45,0,1,west south central div,texas,1,2115827,40.612038
2527,91,125000,70000,70000,male,52,1 year of college,13,n/a,40,nhwhite,1,0,0,2,construction,utilities,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,40,0,1,west north central div,missouri,1,147584,23.636112
2530,42,24000,14000,14000,female,60,grade 12,12,n/a,38,hispanic,0,0,0,3,salesandservicesandfood,hospitality,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,2,0,1,south atlantic division,florida,1,686483,17.668415
2532,202,24000,12000,12000,female,38,grade 10,10,n/a,40,hispanic,0,0,0,3,salesandservicesandfood,professional,0,1,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,35,0,1,east north central div,michigan,1,191934,18.41452
2533,39,80000,30000,30000,female,55,1 year of college,13,n/a,40,nhwhite,1,0,0,2,social,public,0,0,0,0,0,0,0,1,rented,0,public/employer,0,1,0,1,west south central div,texas,0,,
2534,240,38000,38000,38000,female,25,grade 12,12,n/a,40,nhwhite,0,1,1,2,educationlibrary,education,1,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,south atlantic division,florida,1,1504980,28.28821
2535,68,463000,463000,463000,male,55,5+ years of college,18,business,50,nhwhite,1,0,0,2,legal,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,west south central div,texas,1,7400479,31.686863
2536,28,50000,50000,50000,male,63,grade 12,12,n/a,44,nhwhite,0,0,0,1,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,west north central div,minnesota,0,,
2537,83,47000,47000,47000,male,60,grade 12,12,n/a,40,nhwhite,0,0,0,1,construction,construction,0,0,0,0,0,0,0,0,owned or being bought (loan),1,individual only,0,30,0,1,pacific division,california,1,13353907,31.398245
2538,68,100500,100000,100500,male,35,4 years of college,16,social sciences,50,nhasian,0,0,0,1,businessfinance,professional,0,0,0,0,0,0,1,0,rented,0,public/employer,0,85,1,1,middle atlantic division,new jersey,1,20320876,37.242645
2540,83,78800,22000,28000,female,60,4 years of college,16,business,40,nhwhite,1,0,0,3,businessfinance,finance,0,0,0,1,0,0,1,0,owned or being bought (loan),1,individual only,0,25,0,1,east north central div,michigan,1,338338,30.634861
2541,91,197000,101000,101000,female,53,5+ years of college,18,business,40,nhwhite,1,2,0,4,office,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,east south central div,tennessee,1,1904226,33.303417
2542,115,38000,38000,38000,female,59,grade 12,12,n/a,48,nhwhite,0,0,0,1,salesandservicesandfood,health,0,0,0,0,0,0,1,0,rented,0,individual only,0,25,0,1,south atlantic division,virginia,0,,
2544,96,48000,24000,24000,male,37,grade 12,12,n/a,50,nhwhite,1,0,0,2,salesandservicesandfood,professional,0,1,0,0,0,0,0,1,rented,0,no coverage,1,15,1,0,south atlantic division,georgia,1,5882450,34.712471
2546,111,103400,98000,98000,female,38,5+ years of college,18,business,50,nhwhite,1,4,1,6,businessfinance,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,east north central div,illinois,0,,
2548,205,180000,180000,180000,male,58,4 years of college,16,business,40,nhwhite,0,0,0,1,salesandservicesandfood,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,2324884,29.756802
2550,184,62400,60000,60000,male,30,grade 12,12,n/a,40,hispanic,1,0,0,2,construction,ruralextraction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,30,1,0,west south central div,texas,1,860661,16.652811
2553,112,173000,30000,30000,female,28,4 years of college,16,criminal justice and fire protection,40,nhwhite,0,0,0,4,office,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,1,1,east north central div,illinois,1,9533895,35.037014
2555,87,58000,58000,58000,male,42,grade 12,12,n/a,55,nhwhite,1,3,0,5,businessfinance,hospitality,0,1,0,0,0,1,0,1,rented,0,public/employer,0,20,0,1,south atlantic division,georgia,1,5882450,34.712471
2556,92,81000,55000,55000,male,29,1 year of college,13,n/a,40,hispanic,1,2,0,4,businessfinance,public,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,854223,30.228506
2559,8,,13100,13100,male,21,grade 12,12,n/a,45,hispanic,0,0,0,1,salesandservicesandfood,hospitality,0,0,0,0,0,0,0,0,group quarter/institution,0,individual only,0,0,0,1,west north central div,missouri,1,2807216,32.106228
2560,31,5180,22000,22000,male,24,grade 12,12,n/a,40,nhnative,0,1,1,3,manufandinstallation,public,0,0,0,0,0,0,0,0,rented,0,public/employer,0,30,0,1,pacific division,washington,1,564291,26.939505
2561,98,14400,14400,14400,female,35,grade 12,12,n/a,36,nhblack,0,2,0,3,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,east south central div,mississippi,0,,
2562,21,27600,27600,27600,female,26,grade 12,12,n/a,40,nhwhite,0,0,0,1,businessfinance,public,0,1,0,0,0,0,1,0,rented,0,public/employer,0,15,0,1,mountain division,new mexico,1,148750,37.128891
2565,620,111000,111000,111000,male,39,grade 12,12,n/a,65,nhwhite,1,3,0,5,businessfinance,construction,0,1,0,0,0,0,1,0,rented,0,public/employer,0,50,0,1,south atlantic division,florida,1,372880,35.120735
2568,64,102000,58000,60000,male,42,grade 12,12,n/a,45,nhwhite,1,2,0,4,construction,construction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,individual only,0,25,0,1,west north central div,iowa,0,,
2572,211,120000,60000,60000,male,31,4 years of college,16,"physical fitness, parks, recreation, and leisure",40,nhwhite,1,0,0,2,salesandservicesandfood,hospitality,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,wisconsin,0,,
2573,158,54000,54000,54000,male,62,4 years of college,16,criminal justice and fire protection,40,nhwhite,0,0,0,1,educationlibrary,otherservices,1,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,west south central div,texas,1,2115827,40.612038
2574,146,90400,19200,19200,male,48,grade 12,12,n/a,40,hispanic,1,4,0,8,transportation,transportation,0,0,0,0,0,0,0,1,rented,0,public/employer,0,60,0,1,pacific division,california,1,3337685,35.098385
